,Unnamed: 0,unique_ID,Comp,GA90,Save_percent,CS_percent,_per_90_Expected,Cmp_percent_Launched,Stp_percent_Crosses,#OPA_per_90_Sweeper,calculated_war
173,173,Runar Alex Runarsson_2020_Dijon,Ligue 1,1.7,63.8,0.0,-0.47,41.3,5.5,0.9,-2.6632716260931852
174,174,Alfred Gomis_2020_Dijon,Ligue 1,1.11,76.5,31.6,-0.08,43.1,7.5,0.72,1.2125253450265268
175,175,Roman Burki_2020_Dortmund,Bundesliga,1.3,61.1,38.7,-0.08,30.9,3.6,1.46,-0.18932271527086392
176,176,Florian Kastenmeier_2020_Dusseldorf,Bundesliga,1.82,62.8,11.8,-0.17,40.1,2.9,1.18,-1.78963750500971
177,177,Zack Steffen_2020_Dusseldorf,Bundesliga,2.12,64.6,11.8,-0.15,43.6,5.3,0.94,-1.864309261018742
178,178,Marko Dmitrovic_2020_Eibar,La Liga,1.46,61.5,28.6,-0.12,32.4,5.7,2.14,-0.7098349893005059
179,179,Frederik Ronnow_2020_Eint Frankfurt,Bundesliga,1.56,75.5,11.1,0.04,45.3,3.4,1.22,0.08327734837650132
180,180,Kevin Trapp_2020_Eint Frankfurt,Bundesliga,1.73,64.8,18.2,-0.18,42.6,5.7,1.45,-1.1880955336853545
181,181,Diego Lopez_2020_Espanyol,La Liga,1.62,67.5,11.1,-0.06,33.0,5.5,1.39,-0.9892654222444852
182,182,Jordan Pickford_2020_Everton,Premier League,1.47,63.9,23.7,-0.07,37.0,4.7,0.66,-0.6406408607388006
183,183,Bartlomiej Dragowski_2020_Fiorentina,Serie A,1.39,73.4,25.8,-0.01,32.2,3.0,0.97,0.3216188621999343
184,184,Pietro Terracciano_2020_Fiorentina,Serie A,0.72,91.3,28.6,0.36,23.1,5.8,0.72,3.408684572912692
185,185,Mark Flekken_2020_Freiburg,Bundesliga,1.4,79.7,30.0,0.57,35.6,3.1,0.8,2.3847566175372594
186,186,Alexander Schwolow_2020_Freiburg,Bundesliga,1.38,75.4,16.7,0.0,35.7,3.4,0.6,0.21388143002456686
187,187,Mattia Perin_2020_Genoa,Serie A,1.81,64.1,23.8,-0.12,34.6,5.3,0.57,-1.177310573387428
188,188,Ionut Radu_2020_Genoa,Serie A,2.06,70.4,11.8,-0.16,36.1,3.2,0.41,-1.564716849085524
189,189,David Soria_2020_Getafe,La Liga,0.97,70.6,39.5,0.09,37.0,5.2,1.82,1.538277643093407
190,190,Rui Silva_2020_Granada,La Liga,1.2,73.2,34.3,0.02,36.9,5.0,1.89,1.1023216747198048
191,191,Marco Silvestri_2020_Hellas Verona,Serie A,1.23,77.4,25.7,0.08,26.5,3.1,0.43,0.9130717199080597
192,192,Rune Jarstein_2020_Hertha BSC,Bundesliga,1.63,72.7,31.0,-0.06,46.5,7.2,0.71,0.3656247205833614
193,193,Oliver Baumann_2020_Hoffenheim,Bundesliga,1.63,69.9,23.3,0.05,35.0,3.7,0.9,-0.13348121735464966
194,194,Samir Handanovic_2020_Inter,Serie A,0.91,72.7,37.1,-0.05,50.0,4.9,0.54,1.473003850914239
195,195,Gianluigi Buffon_2020_Juventus,Serie A,1.11,72.7,11.1,-0.27,46.2,2.8,0.78,-0.3606120611356258
196,196,Wojciech Szczesny_2020_Juventus,Serie A,1.15,80.6,37.9,0.14,49.7,3.1,1.29,2.2848273251137203
197,197,Timo Horn_2020_Koln,Bundesliga,2.03,58.3,17.6,-0.36,48.9,4.2,0.68,-2.4862756408199624
198,198,Thomas Strakosha_2020_Lazio,Serie A,1.11,77.3,28.9,0.09,40.2,2.1,0.47,1.3919825009028317
199,199,Gabriel_2020_Lecce,Serie A,2.28,70.9,5.9,-0.08,40.0,4.5,0.45,-1.7256107633958546
200,200,Ivan Cuellar_2020_Leganes,La Liga,1.22,67.7,25.9,-0.09,35.6,2.8,1.41,-0.02922666681443283
201,201,Juan Soriano_2020_Leganes,La Liga,1.64,66.7,9.1,-0.11,26.9,6.0,0.36,-1.4198545756628231
202,202,Kasper Schmeichel_2020_Leicester City,Premier League,1.08,75.6,34.2,0.14,45.2,2.8,0.89,1.7354392409553752
203,203,Aitor Fernandez_2020_Levante,La Liga,1.42,76.6,13.9,0.1,34.6,3.4,1.25,0.4149564754922503
204,204,Lukas Hradecky_2020_Leverkusen,Bundesliga,1.29,70.6,29.4,0.12,36.1,3.8,1.62,0.7882547962408393
205,205,Mike Maignan_2020_Lille,Ligue 1,0.96,72.3,42.9,0.04,33.3,3.4,0.86,1.531720105399129
206,206,Adrian_2020_Liverpool,Premier League,1.03,63.0,22.2,-0.26,36.4,5.5,1.44,-0.6354678882166168
207,207,Alisson_2020_Liverpool,Premier League,0.81,72.5,44.8,-0.08,45.0,3.3,2.23,1.7830135812077912
208,208,Anthony Lopes_2020_Lyon,Ligue 1,0.96,73.3,30.8,0.03,43.7,3.5,0.77,1.2947225328641783
209,209,Yann Sommer_2020_M'Gladbach,Bundesliga,1.18,75.3,20.6,0.22,43.1,2.6,1.44,1.2674315632041937
210,210,Florian Muller_2020_Mainz 05,Bundesliga,2.0,65.2,16.7,-0.22,34.6,6.3,1.44,-1.7465107720987734
211,211,Robin Zentner_2020_Mainz 05,Bundesliga,1.86,66.1,13.6,-0.11,33.2,5.8,0.79,-1.437829699021432
212,212,Manolo Reina_2020_Mallorca,La Liga,1.67,74.3,13.9,0.05,37.4,5.0,0.78,-0.13023517239344903
213,213,Ederson_2020_Manchester City,Premier League,0.82,73.7,45.7,0.08,40.4,5.4,1.85,2.2298979414650884
214,214,David de Gea_2020_Manchester Utd,Premier League,0.95,74.8,34.2,-0.01,31.7,2.0,0.58,1.2179411706250791
215,215,Steve Mandanda_2020_Marseille,Ligue 1,1.02,75.0,40.7,0.19,32.1,6.6,0.8,1.9951590350586006
216,216,Alexandre Oukidja_2020_Metz,Ligue 1,1.17,78.3,29.6,-0.02,31.4,6.8,1.17,1.1731249345125434
217,217,Gianluigi Donnarumma_2020_Milan,Serie A,1.18,73.0,33.3,-0.04,43.6,5.7,1.04,1.0011066816683407
218,218,Benjamin Lecomte_2020_Monaco,Ligue 1,1.57,71.6,25.0,-0.01,43.3,5.1,1.39,0.18772405908869694
219,219,Geronimo Rulli_2020_Montpellier,Ligue 1,1.08,79.8,32.0,0.1,51.8,4.4,1.0,2.034807930513012
220,220,Alban Lafont_2020_Nantes,Ligue 1,1.07,72.6,37.0,-0.05,32.5,2.4,1.15,0.970025471060222
221,221,Alex Meret_2020_Napoli,Serie A,1.52,66.7,14.3,-0.2,30.1,1.7,0.69,-1.3217438982787333
222,222,David Ospina_2020_Napoli,Serie A,1.04,72.2,23.5,-0.13,44.2,6.0,1.04,0.5404206218996493
223,223,Martin Dubravka_2020_Newcastle Utd,Premier League,1.53,71.3,28.9,0.18,38.4,3.1,0.68,0.642123383859974
224,224,Walter Benitez_2020_Nice,Ligue 1,1.38,75.4,15.4,0.27,34.7,2.6,0.65,0.775820762374621
225,225,Tim Krul_2020_Norwich City,Premier League,1.89,66.7,13.9,-0.12,28.3,4.4,0.64,-1.5593252368832613
226,226,Paul Bernardoni_2020_Nimes,Ligue 1,1.55,68.5,24.0,-0.26,34.3,4.2,1.06,-0.8477481720719726
227,227,Sergio Herrera_2020_Osasuna,La Liga,1.47,67.5,38.9,0.02,32.9,6.8,1.69,0.471873035285913
228,228,Ruben_2020_Osasuna,La Liga,1.36,61.1,22.2,-0.16,34.9,2.2,0.74,-1.0839966119687043
229,229,Jannik Huth_2020_Paderborn 07,Bundesliga,2.83,51.5,0.0,-0.81,38.9,1.4,0.83,-5.921017517970179
230,230,Leopold Zingerle_2020_Paderborn 07,Bundesliga,2.04,64.5,17.9,-0.23,46.0,2.0,0.79,-1.7839242692662074
231,231,Keylor Navas_2020_Paris S-G,Ligue 1,0.86,72.7,52.4,0.02,38.5,1.6,0.38,2.0043128888396953
232,232,Luigi Sepe_2020_Parma,Serie A,1.56,75.6,14.7,0.05,47.8,3.2,0.29,0.22795012919700258
233,233,Peter Gulacsi_2020_RB Leipzig,Bundesliga,1.06,72.4,31.3,0.08,35.1,4.5,2.13,1.2119214253078285
234,234,Thibaut Courtois_2020_Real Madrid,La Liga,0.59,79.2,52.9,0.2,27.1,5.2,0.97,3.2180997585405713
235,235,Miguel Angel Moya_2020_Real Sociedad,La Liga,1.23,68.6,23.1,0.03,51.3,4.7,1.77,0.5267041516953094
236,236,Alex Remiro_2020_Real Sociedad,La Liga,1.28,73.1,24.0,-0.08,39.6,2.0,1.68,0.33541514003037187
237,237,Predrag Rajkovic_2020_Reims,Ligue 1,0.67,80.5,44.4,0.26,32.5,6.8,0.74,3.156109069347988
238,238,Edouard Mendy_2020_Rennes,Ligue 1,0.79,79.7,37.5,0.11,45.9,9.9,0.92,2.6310789522359093
239,239,Pau Lopez_2020_Roma,Serie A,1.41,72.0,15.6,-0.02,45.1,2.4,1.38,-0.00026223488775700373
240,240,Etrit Berisha_2020_SPAL,Serie A,1.69,74.1,11.5,0.13,42.2,2.9,0.81,-0.03909444289753782
241,241,Karlo Letica_2020_SPAL,Serie A,2.9,55.4,0.0,-0.91,35.5,3.0,0.3,-5.988784289211027
242,242,Stephane Ruffier_2020_Saint-Etienne,Ligue 1,1.82,63.0,13.6,-0.31,35.5,3.6,0.68,-2.12797478928874
243,243,Emil Audero_2020_Sampdoria,Serie A,1.67,67.9,25.0,-0.23,36.0,2.7,0.89,-0.9469624270864565
244,244,Andrea Consigli_2020_Sassuolo,Serie A,1.77,66.9,16.1,-0.23,33.6,4.4,0.97,-1.473631948520097
245,245,Alexander Nubel_2020_Schalke 04,Bundesliga,1.56,69.5,19.2,-0.09,33.5,6.5,0.89,-0.5283728204935324
246,246,Markus Schubert_2020_Schalke 04,Bundesliga,2.18,70.9,25.0,0.06,28.4,4.0,0.97,-0.7204588518376666
247,247,Yassine Bounou_2020_Sevilla,La Liga,0.55,90.0,80.0,0.31,45.3,1.4,0.18,5.544492879436913
248,248,Tomas Vaclik_2020_Sevilla,La Liga,0.95,69.8,36.4,-0.08,38.7,4.4,0.86,0.9283920877009848
249,249,Dean Henderson_2020_Sheffield Utd,Premier League,0.92,75.0,36.1,0.17,31.2,3.6,0.64,1.801281264870724
250,250,Angus Gunn_2020_Southampton,Premier League,2.5,58.2,20.0,-0.75,21.3,2.9,1.2,-4.33361160027985
251,251,Alex McCarthy_2020_Southampton,Premier League,1.25,69.9,25.0,0.11,36.2,5.7,0.96,0.5966116986688178
252,252,Matz Sels_2020_Strasbourg,Ligue 1,1.19,75.0,29.6,0.05,43.4,5.1,0.33,1.1592764305368162
253,253,Salvatore Sirigu_2020_Torino,Serie A,1.78,72.1,19.4,-0.05,46.5,3.7,0.5,-0.36608290989488557
254,254,Paulo Gazzaniga_2020_Tottenham,Premier League,1.45,72.0,11.8,-0.13,26.7,2.7,0.89,-0.7708653679947822
255,255,Hugo Lloris_2020_Tottenham,Premier League,1.05,80.8,28.6,0.52,41.7,5.1,0.4,2.8367639796972624
256,256,Baptiste Reynet_2020_Toulouse,Ligue 1,2.17,61.0,9.1,-0.49,39.1,2.5,1.02,-3.246508411880007
257,257,Juan Musso_2020_Udinese,Serie A,1.34,77.8,36.8,0.03,43.7,4.3,0.53,1.4202110467772686
258,258,Rafal Gikiewicz_2020_Union Berlin,Bundesliga,1.64,67.9,24.2,-0.12,45.4,6.2,1.12,-0.43438665109224966
259,259,Jasper Cillessen_2020_Valencia,La Liga,1.29,78.0,20.8,0.01,31.7,1.6,0.56,0.5945314695773013
260,260,Jaume Domenech_2020_Valencia,La Liga,1.56,72.8,21.4,-0.13,40.8,2.6,0.41,-0.28541401338669453
261,261,Jordi Masip_2020_Valladolid,La Liga,1.11,73.6,31.4,0.13,33.5,2.2,0.43,1.1846390132833104
262,262,Sergio Asenjo_2020_Villarreal,La Liga,1.21,75.2,32.4,-0.04,32.7,2.8,0.79,0.8464562999019072
263,263,Ben Foster_2020_Watford,Premier League,1.68,68.5,23.7,0.04,32.7,5.2,1.45,-0.2797162315417666
264,264,Jiri Pavlenka_2020_Werder Bremen,Bundesliga,2.03,60.9,12.1,-0.44,40.4,2.0,0.91,-2.8526121948338643
265,265,Lukasz Fabianski_2020_West Ham,Premier League,1.45,70.2,20.0,0.0,41.5,2.9,0.34,-0.08646451458794836
266,266,Roberto_2020_West Ham,Premier League,2.23,68.6,0.0,0.25,29.1,0.0,1.31,-1.5068317643653935
267,267,Koen Casteels_2020_Wolfsburg,Bundesliga,1.46,67.6,19.2,-0.14,44.5,5.1,1.31,-0.5057138418177434
268,268,Pavao Pervan_2020_Wolfsburg,Bundesliga,1.0,81.1,37.5,0.42,40.0,2.9,1.5,3.007149914867662
269,269,Rui Patricio_2020_Wolves,Premier League,1.05,69.8,34.2,-0.09,47.3,3.8,0.29,0.7910019914481585
270,270,Fernando Pacheco_2021_Alaves,La Liga,1.53,61.7,24.3,-0.16,50.7,3.4,0.99,-0.8654566624747823
271,271,Paul Bernardoni_2021_Angers,Ligue 1,1.53,63.3,23.7,-0.09,31.4,3.7,0.45,-0.9325328213825287
272,272,Stefan Ortega_2021_Arminia,Bundesliga,1.53,72.4,32.4,0.09,46.5,3.2,1.29,0.8154121809392585
273,273,Bernd Leno_2021_Arsenal,Premier League,1.06,69.2,31.4,-0.02,26.6,3.7,0.95,0.5003444944098632
274,274,Emiliano Martinez_2021_Aston Villa,Premier League,1.21,78.0,39.5,0.11,38.7,6.9,0.89,1.8848930597019697
275,275,Pierluigi Gollini_2021_Atalanta,Serie A,1.09,66.2,36.0,0.0,39.7,2.6,1.63,0.6775274434695392
276,276,Marco Sportiello_2021_Atalanta,Serie A,1.5,57.4,15.4,-0.26,44.0,5.6,1.93,-1.7361008783386227
277,277,Unai Simon_2021_Athletic Club,La Liga,1.08,67.6,24.3,-0.08,41.9,4.5,0.92,0.20371728301426353
278,278,Jan Oblak_2021_Atletico Madrid,La Liga,0.66,80.3,47.4,0.29,37.5,2.7,0.71,3.320780164642106
279,279,Rafal Gikiewicz_2021_Augsburg,Bundesliga,1.59,73.0,20.6,0.07,34.2,5.3,1.06,0.1362835732197646
280,280,Neto_2021_Barcelona,La Liga,0.86,83.3,42.9,0.2,38.9,2.3,1.14,2.9724659182679005
281,281,Marc-Andre ter Stegen_2021_Barcelona,La Liga,1.03,72.6,35.5,-0.04,45.6,6.0,1.03,1.2703524821269097
282,282,Manuel Neuer_2021_Bayern Munich,Bundesliga,1.27,66.7,27.3,0.07,48.0,1.4,3.18,0.5423184986302472
283,283,Lorenzo Montipo_2021_Benevento,Serie A,2.0,59.3,18.9,-0.15,35.3,3.1,0.57,-2.074076307570128
284,284,Claudio Bravo_2021_Betis,La Liga,1.25,72.0,35.0,0.0,35.7,3.8,0.8,0.8132231068675903
285,285,Joel Robles_2021_Betis,La Liga,1.39,65.6,33.3,-0.01,34.2,4.1,1.78,0.10201839569011391
286,286,Angelo da Costa Junior_2021_Bologna,Serie A,1.5,70.4,16.7,-0.06,50.9,5.8,1.67,-0.09775860674593205
287,287,Lukasz Skorupski_2021_Bologna,Serie A,1.64,72.1,14.3,0.09,35.8,5.2,0.75,-0.1788457152805718
288,288,Benoit Costil_2021_Bordeaux,Ligue 1,1.47,68.6,36.8,-0.18,43.3,2.9,0.79,0.024672743241425637
289,289,Gautier Larsonneur_2021_Brest,Ligue 1,1.77,68.0,17.1,-0.18,45.5,4.7,0.69,-1.0510624286574948
290,290,Mathew Ryan_2021_Brighton,Premier League,1.73,55.9,18.2,-0.49,37.8,4.4,0.36,-2.7943731341126927
291,291,Robert Sanchez_2021_Brighton,Premier League,1.0,72.5,37.0,-0.1,36.7,6.5,1.07,1.0834468650177742
292,292,Nick Pope_2021_Burnley,Premier League,1.16,77.2,34.4,0.13,36.3,6.1,2.28,1.7675761958805911
293,293,Alessio Cragno_2021_Cagliari,Serie A,1.56,73.6,17.6,0.03,40.8,3.6,0.65,0.05254188369819956
294,294,Ruben Blanco_2021_Celta Vigo,La Liga,1.48,57.4,21.1,-0.24,34.9,1.3,0.77,-1.766786276897843
295,295,Ivan Villar_2021_Celta Vigo,La Liga,1.52,68.8,26.3,-0.1,29.6,2.2,1.57,-0.411087375408446
296,296,Kepa Arrizabalaga_2021_Chelsea,Premier League,1.23,69.6,33.3,0.0,39.6,4.4,0.15,0.6218760879247219
297,297,Edouard Mendy_2021_Chelsea,Premier League,0.82,71.6,51.6,-0.07,36.0,5.1,0.89,1.7940416529821994
298,298,Alex Cordaz_2021_Crotone,Serie A,2.53,58.5,5.6,-0.47,38.8,3.2,1.0,-3.9464135750978704
299,299,Vicente Guaita_2021_Crystal Palace,Premier League,1.73,63.9,21.6,-0.37,34.3,3.1,0.65,-1.8246505134496174
300,300,Jeremias Ledesma_2021_Cadiz,La Liga,1.41,70.9,28.1,0.02,41.0,6.1,0.66,0.4531735335515232
301,301,Saturnin Allagbe_2021_Dijon,Ligue 1,2.5,56.1,25.0,-0.72,35.3,3.0,1.42,-3.9980418327993466
302,302,Anthony Racioppi_2021_Dijon,Ligue 1,1.57,67.7,14.3,0.02,32.7,2.1,0.62,-0.7338539821769133
303,303,Roman Burki_2021_Dortmund,Bundesliga,1.62,71.7,22.2,-0.09,37.3,2.1,0.7,-0.36747875200360597
304,304,Marwin Hitz_2021_Dortmund,Bundesliga,1.03,68.2,43.8,0.0,48.4,4.5,0.52,1.312712365576652
305,305,Marko Dmitrovic_2021_Eibar,La Liga,1.41,64.3,25.7,-0.11,39.3,3.6,1.38,-0.5013078196819741
306,306,Kevin Trapp_2021_Eint Frankfurt,Bundesliga,1.58,68.0,12.1,-0.16,38.7,3.1,1.55,-1.0563579642147263
307,307,Edgar Badia_2021_Elche,La Liga,1.53,70.9,16.7,0.22,45.9,1.8,1.03,0.3596800419990633
308,308,Paulo Gazzaniga_2021_Elche,La Liga,1.13,63.6,25.0,-0.21,39.1,2.2,0.38,-0.58230719098097
309,309,Robin Olsen_2021_Everton,Premier League,1.29,73.3,28.6,0.07,38.7,4.5,0.57,0.8426873179037354
310,310,Jordan Pickford_2021_Everton,Premier League,1.28,71.1,32.3,0.0,39.0,4.3,1.02,0.6836015000772477
311,311,Bartlomiej Dragowski_2021_Fiorentina,Serie A,1.57,66.7,19.4,0.06,36.3,4.9,0.77,-0.3939676356766086
312,312,Florian Muller_2021_Freiburg,Bundesliga,1.48,72.0,19.4,0.04,29.7,1.7,1.16,-0.07504677977829703
313,313,Alphonse Areola_2021_Fulham,Premier League,1.33,73.9,25.0,0.1,37.0,5.2,0.86,0.7845184018982367
314,314,Mattia Perin_2021_Genoa,Serie A,1.38,76.6,25.0,0.17,33.8,3.5,0.56,0.9930584917375102
315,315,David Soria_2021_Getafe,La Liga,1.11,69.1,35.7,0.03,39.9,3.8,1.64,0.9713942831612145
316,316,Ruben Yanez_2021_Getafe,La Liga,1.2,63.3,40.0,-0.1,43.2,3.9,0.4,0.2416444237919041
317,317,Rui Silva_2021_Granada,La Liga,1.72,63.5,25.0,-0.17,37.0,2.2,1.59,-1.1596420770536915
318,318,Marco Silvestri_2021_Hellas Verona,Serie A,1.24,72.5,20.6,-0.1,28.1,2.0,0.61,-0.08951163476875834
319,319,Rune Jarstein_2021_Hertha BSC,Bundesliga,1.62,63.6,12.5,-0.5,39.0,1.6,0.38,-2.3433309297135465
320,320,Alexander Schwolow_2021_Hertha BSC,Bundesliga,1.5,69.4,30.8,0.0,43.8,2.7,0.73,0.2535185616310577
321,321,Oliver Baumann_2021_Hoffenheim,Bundesliga,1.65,65.9,19.4,0.01,32.9,3.4,1.71,-0.7016509769685827
322,322,Alvaro Fernandez_2021_Huesca,La Liga,1.45,68.4,22.7,-0.04,39.1,4.3,1.05,-0.18298531248950073
323,323,Andres Fernandez_2021_Huesca,La Liga,1.31,66.7,25.0,-0.12,34.5,1.6,0.69,-0.40993453381600997
324,324,Samir Handanovic_2021_Inter,Serie A,0.92,73.6,37.8,-0.01,45.5,2.9,0.61,1.539082960771387
325,325,Gianluigi Buffon_2021_Juventus,Serie A,0.62,85.7,37.5,0.07,40.3,0.8,1.13,2.9223915820547153
326,326,Wojciech Szczesny_2021_Juventus,Serie A,1.08,71.4,16.7,-0.01,51.0,3.0,1.24,0.5125311080500923
327,327,Timo Horn_2021_Koln,Bundesliga,1.76,66.5,14.7,-0.16,44.2,3.0,0.9,-1.24561038603256
328,328,Pepe Reina_2021_Lazio,Serie A,1.41,70.8,31.0,-0.05,44.4,2.4,0.59,0.3531795610506708
329,329,Thomas Strakosha_2021_Lazio,Serie A,1.56,68.4,33.3,-0.14,55.6,3.4,0.56,0.05928661698875347
330,330,Illan Meslier_2021_Leeds United,Premier League,1.49,76.6,31.4,-0.1,32.8,5.4,0.54,0.4861557598565418
331,331,Kasper Schmeichel_2021_Leicester City,Premier League,1.32,66.2,28.9,-0.15,37.4,4.1,0.5,-0.2937094957569075
332,332,Jean-Louis Leca_2021_Lens,Ligue 1,1.39,69.9,21.6,-0.15,37.7,3.5,0.79,-0.35390105560945745
333,333,Cardenas_2021_Levante,La Liga,1.37,71.8,12.5,0.03,37.1,1.6,2.0,-0.07370095226372293
334,334,Aitor Fernandez_2021_Levante,La Liga,1.52,65.8,10.3,-0.19,35.6,1.5,1.86,-1.3624268174263325
335,335,Lukas Hradecky_2021_Leverkusen,Bundesliga,1.02,66.3,27.6,-0.01,35.6,6.2,2.04,0.47195262846378017
336,336,Mike Maignan_2021_Lille,Ligue 1,0.61,79.4,55.3,0.21,31.3,5.5,1.16,3.4097079043989473
337,337,Alisson_2021_Liverpool,Premier League,0.97,75.7,30.3,0.09,38.1,5.9,2.64,1.6752415782985506
338,338,Matthieu Dreyer_2021_Lorient,Ligue 1,1.67,66.1,13.3,-0.22,37.8,0.5,0.4,-1.5553154670253986
339,339,Paul Nardi_2021_Lorient,Ligue 1,1.87,64.9,13.0,-0.41,28.8,3.5,0.74,-2.4057701017020774
340,340,Anthony Lopes_2021_Lyon,Ligue 1,1.13,71.6,28.9,-0.12,44.4,2.0,1.58,0.5575345825852125
341,341,Yann Sommer_2021_M'Gladbach,Bundesliga,1.66,66.7,19.4,-0.33,40.3,1.8,1.0,-1.4218033186113903
342,342,Robin Zentner_2021_Mainz 05,Bundesliga,1.48,71.1,16.1,-0.13,29.1,6.8,1.19,-0.5643719304649588
343,343,Ederson_2021_Manchester City,Premier League,0.78,77.4,52.8,0.05,40.6,6.1,1.22,2.7422469142360213
344,344,David de Gea_2021_Manchester Utd,Premier League,1.25,68.9,34.6,-0.08,38.5,0.6,1.1,0.3560443648430607
